ScenarioId,SourceScenarioId,ObjectCount,PropertyCount,SourceCount,Input,Group,Winner,Overridden,TimeSampleCount,ResolverMedianMs,ResolverP95Ms,ResolverMaxMs,NsPerInput,GcSampleCount,ResolverGcMedianBytes,ResolverGcP95Bytes,ResolverGcMaxBytes,BytesPerInput
R01,B01,100,12,1,1200,1200,1200,0,900,7.5032,8.6768,32.0953,6252.6667,300,1988600,1988600,1988600,1657.1667
R02,B02,100,12,3,3600,1200,1200,2400,900,29.0381,34.4912,73.8505,8066.125,300,4847400,4847400,4847400,1346.5
R03,B03,300,12,1,3600,3600,3600,0,900,22.8853,38.0224,75.5392,6357.0278,300,5965800,5965800,5965800,1657.1667
R04,B04,300,12,3,10800,3600,3600,7200,900,86.5196,114.8958,192.5409,8011.0694,300,14542200,14542200,14542200,1346.5
R05,B06,300,12,5,18000,3600,3600,14400,360,150.5173,201.9299,334.2999,8362.0722,120,29224200,29224200,29224200,1623.5667
R06,B05,500,12,3,18000,6000,6000,12000,360,147.3496,192.6915,289.3792,8186.0861,120,24237000,24237000,24237000,1346.5
