ScenarioId,SourceScenarioId,ObjectCount,PropertyCount,SourceCount,Input,Group,Winner,Overridden,TimeSampleCount,ResolverMedianMs,ResolverP95Ms,ResolverMaxMs,NsPerInput,GcSampleCount,ResolverGcMedianBytes,ResolverGcP95Bytes,ResolverGcMaxBytes,BytesPerInput
R01,B01,100,12,1,1200,1200,1200,0,900,0.321,0.3954,0.5139,267.5,300,0,0,0,0
R02,B02,100,12,3,3600,1200,1200,2400,900,0.7569,0.8832,2.9006,210.25,300,0,0,0,0
R03,B03,300,12,1,3600,3600,3600,0,900,0.9704,1.0811,2.4974,269.5417,300,0,0,0,0
R04,B04,300,12,3,10800,3600,3600,7200,900,2.2886,2.4935,3.2845,211.9074,300,0,0,0,0
R05,B06,300,12,5,18000,3600,3600,14400,360,3.6104,4.099,5.07,200.5778,120,0,0,0,0
R06,B05,500,12,3,18000,6000,6000,12000,360,3.7989,4.0789,4.9963,211.05,120,0,0,0,0
